epochs,learning_rate,layer_sizes,use_dropout,use_batch_norm,train_rmse,val_rmse
50,0.0001,"[512, 128, 64]",True,True,3.563559906976922,3.2416659068090525
50,0.0001,"[512, 128, 64]",True,True,3.8055361333051847,3.179614405431851
50,0.0001,"[512, 128, 64]",True,False,3.5807877586861516,3.2354023581980087
50,0.0001,"[512, 128, 64]",True,False,3.6166245705611217,3.2929210684668773
50,0.0001,"[512, 128, 64]",True,False,4.574112823411385,3.652417362970616
50,0.0001,"[512, 128, 64]",False,True,3.9258643431659657,3.554099792355782
50,0.0001,"[512, 128, 64]",False,True,3.587377810921452,3.2556321482582593
50,0.0001,"[512, 128, 64]",False,True,3.6420455797709583,3.0735570573312287
50,0.0001,"[512, 128, 64]",False,False,3.6195259063869827,3.298651499188136
50,0.0001,"[512, 128, 64]",False,False,3.647000885112424,3.3362292418935526
50,0.0001,"[512, 128, 64]",False,False,4.122236327498357,3.250381117711566
50,0.001,"[256, 128, 64]",True,True,3.671475391481242,3.3853033819405742
50,0.001,"[256, 128, 64]",True,True,3.6358678787003336,3.3494417711593476
50,0.001,"[256, 128, 64]",True,True,3.561870918957238,3.1699697936071396
50,0.001,"[256, 128, 64]",True,False,3.8209318231751905,3.5382005446621596
50,0.001,"[256, 128, 64]",True,False,3.708046273155002,3.4202522376282514
50,0.001,"[256, 128, 64]",True,False,4.481020174959898,3.506834461571748
50,0.001,"[256, 128, 64]",False,True,3.91162720503208,3.5562246323891102
50,0.001,"[256, 128, 64]",False,True,3.4990811872879544,3.164130428973752
50,0.001,"[256, 128, 64]",False,True,3.7997640957825634,3.393611446894974
50,0.001,"[256, 128, 64]",False,False,3.637689862816559,3.3219417141092866
50,0.001,"[256, 128, 64]",False,False,3.642131744179559,3.3968232237621794
50,0.001,"[256, 128, 64]",False,False,4.5317537505254215,3.5486322883352366
50,0.001,"[128, 64, 32]",True,True,3.5444116616454293,3.1931721886610633
50,0.001,"[128, 64, 32]",True,True,3.574874857364566,3.3538572637744037
50,0.001,"[128, 64, 32]",True,True,4.033056256743311,3.6881558268129613
50,0.001,"[128, 64, 32]",True,False,3.778407428893386,3.4668885321681273
50,0.001,"[128, 64, 32]",True,False,3.5031942447107007,3.280172539420188
50,0.001,"[128, 64, 32]",True,False,4.384333183840683,3.499534614368772
50,0.001,"[128, 64, 32]",False,True,3.7382976631687144,3.466863401235837
50,0.001,"[128, 64, 32]",False,True,3.553226723076732,3.2920164372294534
50,0.001,"[128, 64, 32]",False,True,3.7818222914442563,3.3406708496695194
50,0.001,"[128, 64, 32]",False,False,3.6563483432303325,3.3551880690587206
50,0.001,"[128, 64, 32]",False,False,3.634043712670589,3.2944383833925643
50,0.001,"[128, 64, 32]",False,False,3.8565700841971675,3.305445473537208
50,0.001,"[128, 128, 128]",True,True,3.488463250523389,3.2645806654800955
50,0.001,"[128, 128, 128]",True,True,3.5114548459690105,3.338784555146108
50,0.001,"[128, 128, 128]",True,True,3.4807768515024473,3.1697163748914967
50,0.001,"[128, 128, 128]",True,False,3.73251174977304,3.2502346053681976
50,0.001,"[128, 128, 128]",True,False,3.536356259622324,3.224587527587384
