epochs,learning_rate,layer_sizes,use_dropout,use_batch_norm,activation,train_rmse,val_rmse,RMSE %
50,0.001,"[128, 64, 32]",False,False,LeakyReLU(negative_slope=0.01),5.648885912063718,5.896703838841749,218.16357946300116
50,0.001,"[128, 64, 32]",False,False,Sigmoid(),5.844396713584967,6.074491770648331,221.5125811487908
50,0.001,"[128, 128, 128]",True,True,ReLU(),5.433919432836744,5.680658640925246,214.093923414489
50,0.001,"[128, 128, 128]",True,True,LeakyReLU(negative_slope=0.01),6.006030888081688,6.248957500696201,224.79900232544577
50,0.001,"[128, 128, 128]",True,True,Sigmoid(),5.571732814843339,5.858333611931033,217.44079725105706
50,0.001,"[128, 128, 128]",True,False,ReLU(),5.798395756592977,5.986400280740892,219.85319659323673
50,0.001,"[128, 128, 128]",True,False,LeakyReLU(negative_slope=0.01),5.546730484190588,5.764913207894009,215.68103162789032
50,0.001,"[128, 128, 128]",True,False,Sigmoid(),5.689870506046625,5.931707879323925,218.82295262400842
50,0.001,"[128, 128, 128]",False,True,ReLU(),5.117310068051518,5.304536959159563,207.00889726285078
50,0.001,"[128, 128, 128]",False,True,LeakyReLU(negative_slope=0.01),5.0236517857295135,5.119245144709369,203.51854450014574
50,0.001,"[128, 128, 128]",False,True,Sigmoid(),6.021045936403183,6.3276580344138456,226.28148888915507
50,0.001,"[128, 128, 128]",False,False,ReLU(),5.606199094380658,5.83987800273199,217.09314785949374
50,0.001,"[128, 128, 128]",False,False,LeakyReLU(negative_slope=0.01),5.682687962562803,5.853496769360634,217.34968536422898
50,0.001,"[128, 128, 128]",False,False,Sigmoid(),5.734463722593035,5.963434793563679,219.42059436602182
50,0.001,"[128, 64]",True,True,ReLU(),5.68012748320302,5.908647334546373,218.38855979120774
50,0.001,"[128, 64]",True,True,LeakyReLU(negative_slope=0.01),5.810232190771355,6.085532059302167,221.72054771287412
50,0.001,"[128, 64]",True,True,Sigmoid(),5.512519415982067,5.730383603109686,215.03059543991472
