learning_rate,layer_sizes,use_dropout,use_batch_norm,train_rmse,val_rmse
0.0001,"[256, 64]",False,False,2.5776997761963214,2.908987345111193
0.0001,"[256, 64]",False,False,2.384889245225584,2.6993222283889735
0.0001,"[256, 64]",False,False,2.337181739063737,2.3733489816554307
0.0001,"[512, 128, 64]",True,True,2.3783141458224297,2.681093123654909
0.0001,"[512, 128, 64]",True,True,2.0621732089317426,2.254947693629887
0.0001,"[512, 128, 64]",True,True,2.354538364477127,2.63219453367642
0.0001,"[512, 128, 64]",True,False,2.3859840703796733,2.706973828366408
0.0001,"[512, 128, 64]",True,False,2.2106404553155636,2.4782630072876604
0.0001,"[512, 128, 64]",True,False,2.311668292509306,2.3560158628108323
0.0001,"[512, 128, 64]",False,True,2.563145557861741,2.7722983152403766
0.0001,"[512, 128, 64]",False,True,2.3630405453492407,2.556997380792736
0.0001,"[512, 128, 64]",False,True,2.6558376715798246,2.819085704610076
0.0001,"[512, 128, 64]",False,False,2.398789103752473,2.658789226169729
0.0001,"[512, 128, 64]",False,False,2.36146840650708,2.6431391686775543
0.0001,"[512, 128, 64]",False,False,2.375388353587123,2.4408409352037275
0.001,"[256, 128, 64]",True,True,1.881550895019507,2.044555629974989
0.001,"[256, 128, 64]",True,True,2.669241105155587,2.906907638197452
0.001,"[256, 128, 64]",True,True,2.3242481164512623,2.631144718190548
0.001,"[256, 128, 64]",True,False,2.386337044423083,2.6788738316359684
0.001,"[256, 128, 64]",True,False,2.171740404848229,2.3604662242124075
0.001,"[256, 128, 64]",True,False,2.4518388139329668,2.541995124842232
0.001,"[256, 128, 64]",False,True,2.301534927058957,2.481986128087265
0.001,"[256, 128, 64]",False,True,2.644746217601538,2.936060250567493
0.001,"[256, 128, 64]",False,True,2.2252116034912093,2.481259968703815
0.001,"[256, 128, 64]",False,False,2.3828584172895004,2.68219970515347
0.001,"[256, 128, 64]",False,False,2.3083271790103694,2.577333237815758
0.001,"[256, 128, 64]",False,False,2.12687028200577,2.2788955956792867
0.001,"[128, 64, 32]",True,True,2.2373284226285524,2.4899071806786535
0.001,"[128, 64, 32]",True,True,2.0874927899505122,2.3328774465151145
0.001,"[128, 64, 32]",True,True,2.4474786680454756,2.7781351744853446
0.001,"[128, 64, 32]",True,False,2.2919631982597006,2.491579504804509
0.001,"[128, 64, 32]",True,False,2.412103018684512,2.7042765350905626
0.001,"[128, 64, 32]",True,False,2.4454368746760524,2.4744548532562334
0.001,"[128, 64, 32]",False,True,2.0107252275114016,2.1159145208440395
0.001,"[128, 64, 32]",False,True,2.513814508467899,2.7856336342682004
0.001,"[128, 64, 32]",False,True,2.108075023783044,2.341346059517834
0.001,"[128, 64, 32]",False,False,2.3720154833473934,2.6295244138322467
0.001,"[128, 64, 32]",False,False,2.255155872964459,2.516038675071367
0.001,"[128, 64, 32]",False,False,2.1404929174147216,2.3103191588845045
0.001,"[128, 128, 128]",True,True,2.073247338947583,2.3169091826407215
0.001,"[128, 128, 128]",True,True,2.267211253053961,2.5151367463454006
0.001,"[128, 128, 128]",True,True,1.9508153303867524,2.2511191683524663
0.001,"[128, 128, 128]",True,False,2.4095571453282463,2.630775719519256
0.001,"[128, 128, 128]",True,False,2.2786935059834046,2.5047509554374523
0.001,"[128, 128, 128]",True,False,2.3526705198058995,2.2545052144262314
0.001,"[128, 128, 128]",False,True,2.4792687061476975,2.674162544032844
0.001,"[128, 128, 128]",False,True,2.8654713457299574,3.1142720066406917
0.001,"[128, 128, 128]",False,True,2.335687655724095,2.6280345587619367
0.001,"[128, 128, 128]",False,False,2.383146758908155,2.563762450552576
0.001,"[128, 128, 128]",False,False,2.4616025568894115,2.716533866374338
0.001,"[128, 128, 128]",False,False,2.23328351225913,2.304466501954006
0.001,"[128, 64]",True,True,2.4195766748643885,2.6155401163961085
0.001,"[128, 64]",True,True,2.4256090523141087,2.69731011672944
0.001,"[128, 64]",True,True,3.3257424054908515,3.6685100566631377
0.001,"[128, 64]",True,False,2.409558712823419,2.666499070409905
0.001,"[128, 64]",True,False,2.401885284329938,2.732053964441936
0.001,"[128, 64]",True,False,2.1225998790354996,2.4435240511553635
0.001,"[128, 64]",False,True,1.9736819944318618,2.2083700162544018
0.001,"[128, 64]",False,True,2.2641204072678036,2.501598547453469
0.001,"[128, 64]",False,True,2.25795313723757,2.5952160480112303
0.001,"[128, 64]",False,False,2.3757093427080305,2.6658432069506173
0.001,"[128, 64]",False,False,2.3708236750978666,2.7059165589617984
0.001,"[128, 64]",False,False,2.5980560388411638,2.8454241887102913
0.001,"[256, 64]",True,True,2.6371745989521753,2.9184143064255332
0.001,"[256, 64]",True,True,1.9530656173914211,2.2725240371369804
0.001,"[256, 64]",True,True,2.3681867450798,2.8567291194862725
0.001,"[256, 64]",True,False,2.3995890910275235,2.6312250136567723
0.001,"[256, 64]",True,False,2.2809514930718127,2.5844505798059805
0.001,"[256, 64]",True,False,2.4370856871784325,2.762350689265194
0.001,"[256, 64]",False,True,2.4872238061146135,2.7176195404782306
0.001,"[256, 64]",False,True,2.6044873006428593,2.8187476954544173
0.001,"[256, 64]",False,True,2.0253100413200773,2.316845232569663
0.001,"[256, 64]",False,False,2.341186076567195,2.2427446988803124
0.001,"[256, 64]",False,False,2.3562047990817265,2.644187706483364
0.001,"[256, 64]",False,False,2.320746461931965,2.6212906287353412
0.001,"[512, 128, 64]",True,True,2.3341081064891043,2.567201781950798
0.001,"[512, 128, 64]",True,True,2.2906214286480653,2.4645345418605804
